mol1,mol2,Property
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,0.414821
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,0.00385257
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,0.317078
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,0.0357821
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,0.132448
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,0.212552
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,0.00476861
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,0.689194
CCCCCCCCCCCCCCCCCl,C1CCCCC1,1.27207
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.0297335
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.877833
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.0978071
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.576102
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.195156
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.390771
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.289261
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.23269
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.408932
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.136356
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.518186
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.0800396
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.610787
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.0380373
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.714351
CCCCCCCCCCCCCCCCCl,C1CCCCC1,0.0112564
C1CCCCC1,CCCCCCCCCCCCCCCCCl,0.830789
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.00190882
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.0312657
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.00314394
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.0263275
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.00280393
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.0268924
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.00430927
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.0255024
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.0185276
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.0177557
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.0565947
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.00729454
CCCCCCCCCCCCCCCCCl,CCCCCCCCCCCCCCCC,-0.0601705
CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCl,-0.00665912
O=S=O,CCOC(C)=O,0.433119
CCOC(C)=O,O=S=O,0.00731319
O=S=O,CCOC(C)=O,0.322779
CCOC(C)=O,O=S=O,0.0308007
O=S=O,CCOC(C)=O,0.23364
CCOC(C)=O,O=S=O,0.0677428
CCc1ccccc1,COc1ccccc1,-0.00132588
COc1ccccc1,CCc1ccccc1,-0.141458
CCc1ccccc1,COc1ccccc1,-0.00132588
COc1ccccc1,CCc1ccccc1,-0.141458
CCc1ccccc1,COc1ccccc1,-0.00750812
COc1ccccc1,CCc1ccccc1,-0.110364
CCc1ccccc1,COc1ccccc1,-0.00750812
COc1ccccc1,CCc1ccccc1,-0.110364
CCc1ccccc1,COc1ccccc1,-0.0182149
COc1ccccc1,CCc1ccccc1,-0.081606
CCc1ccccc1,COc1ccccc1,-0.0182149
COc1ccccc1,CCc1ccccc1,-0.081606
CCc1ccccc1,COc1ccccc1,-0.0349963
COc1ccccc1,CCc1ccccc1,-0.0535601
CCc1ccccc1,COc1ccccc1,-0.0349963
COc1ccccc1,CCc1ccccc1,-0.0535601
CCc1ccccc1,COc1ccccc1,-0.057125
COc1ccccc1,CCc1ccccc1,-0.0299047
CCc1ccccc1,COc1ccccc1,-0.057125
COc1ccccc1,CCc1ccccc1,-0.0299047
CCc1ccccc1,COc1ccccc1,-0.0768659
COc1ccccc1,CCc1ccccc1,-0.0159099
CCc1ccccc1,COc1ccccc1,-0.0768659
COc1ccccc1,CCc1ccccc1,-0.0159099
CCc1ccccc1,COc1ccccc1,-0.0967356
COc1ccccc1,CCc1ccccc1,-0.00648599
CCc1ccccc1,COc1ccccc1,-0.0967356
COc1ccccc1,CCc1ccccc1,-0.00648599
CCc1ccccc1,COc1ccccc1,-0.112544
COc1ccccc1,CCc1ccccc1,-0.0017896
CCc1ccccc1,COc1ccccc1,-0.112544
COc1ccccc1,CCc1ccccc1,-0.0017896
CCc1ccccc1,COc1ccccc1,-0.121693
COc1ccccc1,CCc1ccccc1,-0.000240029
CCc1ccccc1,COc1ccccc1,-0.121693
COc1ccccc1,CCc1ccccc1,-0.000240029
CCc1ccccc1,Cc1ccccc1,-0.0127327
Cc1ccccc1,CCc1ccccc1,-0.181247
CCc1ccccc1,Cc1ccccc1,-0.0469973
Cc1ccccc1,CCc1ccccc1,-0.089555
CCc1ccccc1,Cc1ccccc1,-0.0830643
Cc1ccccc1,CCc1ccccc1,-0.0439634
CCc1ccccc1,Cc1ccccc1,-0.119997
Cc1ccccc1,CCc1ccccc1,-0.0179736
CCc1ccccc1,Cc1ccccc1,-0.165545
Cc1ccccc1,CCc1ccccc1,-0.00259837
CCc1ccccc1,Cc1ccccc1,-0.00357639
Cc1ccccc1,CCc1ccccc1,-0.108883
CCc1ccccc1,Cc1ccccc1,-0.0176509
Cc1ccccc1,CCc1ccccc1,-0.072461
CCc1ccccc1,Cc1ccccc1,-0.0390382
Cc1ccccc1,CCc1ccccc1,-0.0458879
CCc1ccccc1,Cc1ccccc1,-0.0698829
Cc1ccccc1,CCc1ccccc1,-0.0245509
CCc1ccccc1,Cc1ccccc1,-0.129209
Cc1ccccc1,CCc1ccccc1,-0.00542368
CCc1ccccc1,Cc1ccccc1,0.00096953
Cc1ccccc1,CCc1ccccc1,-0.0605359
CCc1ccccc1,Cc1ccccc1,-0.00213027
Cc1ccccc1,CCc1ccccc1,-0.0538344
CCc1ccccc1,Cc1ccccc1,-0.013818
Cc1ccccc1,CCc1ccccc1,-0.0396529
