MOL_1,MOL_2,logV
B(Br)(Br)Br,CCO,-0.140111686010622
BrBr,CCO,-0.0111872962712595
BrC(Br)(Br)Br,c1ccccc1,-0.2197547161346474
BrC(Br)(Br)Br,c1ccccc1,-0.0807649620768015
BrC(Br)(Br)Br,c1ccccc1,0.050070264367438416
BrC(Br)(Br)Br,c1ccccc1,0.16542240081456988
BrC(Br)(Br)Br,c1ccccc1,0.2646997921671458
BrC(Br)(Br)Br,c1ccccc1,0.34931638877008725
BrC(Br)(Br)Br,c1ccccc1,0.4208794988754823
BrC(Br)(Br)Br,c1ccccc1,0.48084021854277703
BrC(Br)(Br)Br,c1ccccc1,0.5303277897780735
BrC(Br)(Br)Br,c1ccccc1,0.5700990789919579
BrC(Br)(Br)Br,c1ccccc1,0.6005917684293758
BrC(Br)Br,C1CCCCC1,-0.1980683223290842
BrC(Br)Br,C1CCCCC1,-0.16497482024830437
BrC(Br)Br,C1CCCCC1,-0.1323212870765794
BrC(Br)Br,C1CCCCC1,-0.10045240454309634
BrC(Br)Br,C1CCCCC1,-0.06581409814832834
BrC(Br)Br,C1CCCCC1,-0.028345138068044538
BrC(Br)Br,C1CCCCC1,0.01032561456627892
BrC(Br)Br,C1CCCCC1,0.04983095577500866
BrC(Br)Br,C1CCCCC1,0.08787825803877437
BrC(Br)Br,C1CCCCC1,0.1271800156014186
BrC(Br)Br,C1CCCCC1,0.16920403652361962
BrC(Br)Br,CC(C)=O,-0.5157001606532142
BrC(Br)Br,CC(C)=O,-0.38674430101100987
BrC(Br)Br,CC(C)=O,-0.27794099805891914
BrC(Br)Br,CC(C)=O,-0.18585494951811216
BrC(Br)Br,CC(C)=O,-0.09597462435328498
BrC(Br)Br,CC(C)=O,-0.016865403568567233
BrC(Br)Br,CC(C)=O,0.05519760890297354
BrC(Br)Br,CC(C)=O,0.11752415884864167
BrC(Br)Br,CC(C)=O,0.17712640917135425
BrC(Br)Br,CC(C)=O,0.2297881054835459
BrC(Br)Br,CC(C)=O,0.27737997466725467
BrC(Br)Br,CC(C)CCO,0.4830588318012679
BrC(Br)Br,CC(C)CCO,0.4679117940422602
BrC(Br)Br,CC(C)CCO,0.4250185750011051
BrC(Br)Br,CC(C)CCO,0.38100261537434
BrC(Br)Br,CC(C)CCO,0.33957310578594524
BrC(Br)Br,CC(C)CCO,0.3062187396069318
BrC(Br)Br,CC(C)CCO,0.280770733983243
BrC(Br)Br,CC(C)CCO,0.2544689470095824
BrC(Br)Br,CC(C)CCO,0.24114796245593142
BrC(Br)Br,CC(C)CCO,0.23927087752107565
BrC(Br)Br,CC(C)CCO,0.2535610020278684
BrC(Br)Br,CCCC#N,-0.2992616790955979
BrC(Br)Br,CCCC#N,-0.20065672300116716
BrC(Br)Br,CCCC#N,-0.10920641500453958
BrC(Br)Br,CCCC#N,-0.040465805487791294
BrC(Br)Br,CCCC#N,0.014043445663537506
BrC(Br)Br,CCCC#N,0.06850555803469852
BrC(Br)Br,CCCC#N,0.11891664141024205
BrC(Br)Br,CCCC#N,0.16423740422688893
BrC(Br)Br,CCCC#N,0.2025238616074151
BrC(Br)Br,CCCC#N,0.23653153034058766
BrC(Br)Br,CCCC#N,0.26681311136750113
BrC(Br)Br,CCCCCC,-0.5162701009999763
BrC(Br)Br,CCCCCC,-0.4540641388726919
BrC(Br)Br,CCCCCC,-0.3988272766390639
BrC(Br)Br,CCCCCC,-0.3076117667399291
BrC(Br)Br,CCCCCC,-0.241843471103554
BrC(Br)Br,CCCCCC,-0.17404045711919208
BrC(Br)Br,CCCCCC,-0.08559394701405007
BrC(Br)Br,CCCCCC,-0.00699117832356719
BrC(Br)Br,CCCCCC,0.0853547034635047
BrC(Br)Br,CCCCCC,0.17356855032455298
BrC(Br)Br,CCCCCC,0.26681311136750113
BrC(Br)Br,CCCCCCCO,0.6834466632215541
BrC(Br)Br,CCCCCCCO,0.6578766919023519
BrC(Br)Br,CCCCCCCO,0.6028861382335963
BrC(Br)Br,CCCCCCCO,0.5522168563510461
BrC(Br)Br,CCCCCCCO,0.49373894725813966
BrC(Br)Br,CCCCCCCO,0.44488551884812494
BrC(Br)Br,CCCCCCCO,0.3897802210772809
BrC(Br)Br,CCCCCCCO,0.3423702165885452
BrC(Br)Br,CCCCCCCO,0.2991419465151722
BrC(Br)Br,CCCCCCCO,0.2657198580795855
BrC(Br)Br,CCCCCCCO,0.2535610020278684
BrC(Br)Br,CCCCCCO,0.5671691669924974
BrC(Br)Br,CCCCCCO,0.5544177979067503
BrC(Br)Br,CCCCCCO,0.5113286489391713
BrC(Br)Br,CCCCCCO,0.4629086783652589
BrC(Br)Br,CCCCCCO,0.41824920952005823
BrC(Br)Br,CCCCCCO,0.3740383506894651
BrC(Br)Br,CCCCCCO,0.33448105149581026
BrC(Br)Br,CCCCCCO,0.2996938054221882
BrC(Br)Br,CCCCCCO,0.27083777235401324
BrC(Br)Br,CCCCCCO,0.2520134941973758
BrC(Br)Br,CCCCCCO,0.2535610020278684
BrC(Br)Br,CCCCCO,0.45374569592480823
BrC(Br)Br,CCCCCO,0.4511576977020771
BrC(Br)Br,CCCCCO,0.4191426269744752
BrC(Br)Br,CCCCCO,0.37878019762121284
BrC(Br)Br,CCCCCO,0.3424244155969325
BrC(Br)Br,CCCCCO,0.30924894630530814
BrC(Br)Br,CCCCCO,0.28367026121851685
BrC(Br)Br,CCCCCO,0.26139219169817257
BrC(Br)Br,CCCCCO,0.24649774412133527
BrC(Br)Br,CCCCCO,0.2417467762000214
BrC(Br)Br,CCCCCO,0.2535610020278684
BrC(Br)Br,CCCCO,0.3281664309766687
BrC(Br)Br,CCCCO,0.33867091055765236
BrC(Br)Br,CCCCO,0.31690232903891835
BrC(Br)Br,CCCCO,0.28997711115422936
BrC(Br)Br,CCCCO,0.26693329911833263
BrC(Br)Br,CCCCO,0.24836295153856777
BrC(Br)Br,CCCCO,0.23601259226363025
BrC(Br)Br,CCCCO,0.22945491256308748
BrC(Br)Br,CCCCO,0.22662695404016994
BrC(Br)Br,CCCCO,0.2318624778252993
BrC(Br)Br,CCCCO,0.2535610020278684
BrC(Br)Br,CCCO,0.2151263216003253
BrC(Br)Br,CCCO,0.213975422762103
BrC(Br)Br,CCCO,0.20967914866817405
BrC(Br)Br,CCCO,0.20217371876878465
BrC(Br)Br,CCCO,0.1931616095203775
BrC(Br)Br,CCCO,0.1907093483114557
BrC(Br)Br,CCCO,0.19258966897817112
BrC(Br)Br,CCCO,0.1959393170490212
BrC(Br)Br,CCCO,0.20734138122466983
BrC(Br)Br,CCCO,0.2238790977403307
BrC(Br)Br,CCCO,0.2513324715740284
BrC(Br)Br,CCOC(C)=O,-0.38721371475837163
BrC(Br)Br,CCOC(C)=O,-0.3036447388686222
BrC(Br)Br,CCOC(C)=O,-0.22469821813871033
BrC(Br)Br,CCOC(C)=O,-0.1506389493987717
BrC(Br)Br,CCOC(C)=O,-0.08065387681417949
BrC(Br)Br,CCOC(C)=O,-0.015587892309633249
BrC(Br)Br,CCOC(C)=O,0.044562555473210266
BrC(Br)Br,CCOC(C)=O,0.10029864954394675
BrC(Br)Br,CCOC(C)=O,0.1472114283915834
BrC(Br)Br,CCOC(C)=O,0.18744299868093675
BrC(Br)Br,CCOC(C)=O,0.22087090694942849
BrC(Br)Br,CN(C)C=O,-0.1354226085541789
BrC(Br)Br,CN(C)C=O,-0.06526184284687041
BrC(Br)Br,CN(C)C=O,0.04076458897856009
BrC(Br)Br,CN(C)C=O,0.11439008954018208
BrC(Br)Br,CN(C)C=O,0.17160563627438277
BrC(Br)Br,CN(C)C=O,0.22474401992870532
BrC(Br)Br,CN(C)C=O,0.2551382135898321
BrC(Br)Br,CN(C)C=O,0.263964116148577
BrC(Br)Br,CN(C)C=O,0.26814740600574866
BrC(Br)Br,CN(C)C=O,0.2592743711939999
BrC(Br)Br,CN(C)C=O,0.2411786166991617
BrC(Br)Br,CO,-0.3619802344404226
BrC(Br)Br,CO,-0.22503268440306942
BrC(Br)Br,CO,-0.12792229821038448
BrC(Br)Br,CO,-0.06052617827627158
BrC(Br)Br,CO,-0.006168386216633678
BrC(Br)Br,CO,0.0346676479126778
BrC(Br)Br,CO,0.06679689263606578
BrC(Br)Br,CO,0.09441248706151946
BrC(Br)Br,CO,0.11846531201823662
BrC(Br)Br,CO,0.14124789090144957
BrC(Br)Br,CO,0.16920403652361962
BrC(Br)Br,COC(C)=O,-0.4233069204990176
BrC(Br)Br,COC(C)=O,-0.3420514921820238
BrC(Br)Br,COC(C)=O,-0.24357752866284987
BrC(Br)Br,COC(C)=O,-0.1806802261025711
