MOL_1,MOL_2,logV
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,-6.47065
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,-5.78009
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,-5.78394
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,-6.88547
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,-6.56839
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,-5.74816
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,-6.75303
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,-5.57138
C[C@H]1CCCC[C@H]1C,CCCCCCCCCCCCCCCC,-6.8807
CCCCCCCCCCCCCCCC,C[C@H]1CCCC[C@H]1C,-5.09474
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-3.95207
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.99051
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-7.02024
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-5.22414
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-4.34631
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.92244
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-4.64804
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.82508
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-4.83337
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.73097
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-4.99145
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.61131
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-5.08779
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.50205
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-5.14411
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.40945
CCCCCCCCCCCCCCCCCl,C1CCCCC1,-5.18611
C1CCCCC1,CCCCCCCCCCCCCCCCCl,-6.30589
