MolFrac_1,T
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.5,298.15
0.7073,301.05
0.7073,303.15
0.7073,306.15
0.7073,309.15
0.5628,304.75
0.5628,305.05
0.5628,305.55
0.5628,306.75
0.5628,309.65
0.496,302.75
0.496,304.15
0.496,305.15
0.496,308.15
0.496,310.15
0.0,303.15
0.05093,303.15
0.07611,303.15
0.13222,303.15
0.17385,303.15
0.2411599999999999,303.15
0.32694,303.15
0.36845,303.15
0.39334,303.15
0.42386,303.15
0.45128,303.15
0.5139,303.15
0.55271,303.15
0.5825600000000001,303.15
0.6360100000000001,303.15
0.66045,303.15
0.7289899999999999,303.15
0.80883,303.15
0.81944,303.15
0.89099,303.15
0.90886,303.15
0.9478,303.15
0.96579,303.15
0.96839,303.15
0.97373,303.15
0.98265,303.15
0.99147,303.15
1.0,303.15
0.4313,304.65
0.4313,305.65
0.4313,309.15
0.4313,310.15
0.4039,304.15
0.4039,305.65
0.4039,307.15
0.4039,309.15
0.4039,310.15
0.2643,303.75
0.2643,304.15
0.2643,306.15
0.2643,308.15
0.2643,310.15
0.183,293.17
0.183,294.57
0.183,296.3
0.287,293.77
0.287,295.17
0.287,296.57
0.287,298.25
0.36,293.77
0.36,295.17
0.36,296.57
0.36,298.15
0.419,293.65
0.419,294.75
0.419,296.85
0.419,298.35
0.4529999999999999,293.275
0.4529999999999999,294.85
0.4529999999999999,296.4
0.4529999999999999,298.55
0.5589999999999999,294.1
0.5589999999999999,296.05
0.5589999999999999,298.07
0.629,294.75
0.629,296.45
0.629,298.25
0.732,293.66
0.732,295.88
0.732,297.45
0.0321,295.3
0.0321,303.55
0.0416399999999999,293.15
0.08905,293.15
0.1435,293.15
0.2068,293.15
0.235,293.15
0.2499,293.15
0.2652,293.15
0.2811,293.15
0.3697,293.15
0.4771,293.15
0.61,293.15
0.7787,293.15
0.9898,293.15
0.0416399999999999,303.15
0.08905,303.15
0.1435,303.15
0.2068,303.15
0.235,303.15
0.2499,303.15
0.2652,303.15
0.2811,303.15
0.3697,303.15
0.4771,303.15
0.61,303.15
0.7787,303.15
0.9898,303.15
0.0416399999999999,313.15
0.08905,313.15
0.1435,313.15
0.2068,313.15
0.235,313.15
0.2499,313.15
0.2652,313.15
0.2811,313.15
0.3697,313.15
0.4771,313.15
0.61,313.15
0.7787,313.15
0.9898,313.15
0.0416399999999999,323.15
0.08905,323.15
0.1435,323.15
0.2068,323.15
0.235,323.15
0.2499,323.15
0.2652,323.15
0.2811,323.15
0.3697,323.15
0.4771,323.15
0.61,323.15
0.7787,323.15
0.9898,323.15
0.0222,293.15
0.0806,293.15
0.17,293.15
1.0,293.15
0.0222,313.15
0.0806,313.15
0.17,313.15
1.0,313.15
0.0417,293.15
0.144,293.15
0.281,293.15
1.0,293.15
0.0417,313.15
0.144,313.15
0.281,313.15
1.0,313.15
0.0588,293.15
0.123,293.15
0.1939999999999999,293.15
0.2319999999999999,293.15
0.25,293.15
0.273,293.15
0.36,293.15
0.4579999999999999,293.15
0.6920000000000001,293.15
1.0,293.15
0.0588,303.15
0.123,303.15
0.1939999999999999,303.15
0.273,303.15
0.36,303.15
0.4579999999999999,303.15
0.6920000000000001,303.15
1.0,303.15
0.0588,313.15
0.123,313.15
0.1939999999999999,313.15
0.273,313.15
0.36,313.15
0.4579999999999999,313.15
0.6920000000000001,313.15
1.0,313.15
0.0588,323.15
0.123,323.15
0.1939999999999999,323.15
0.273,323.15
0.36,323.15
0.4579999999999999,323.15
0.6920000000000001,323.15
1.0,323.15
0.03226,293.15
0.1139,293.15
0.2308,293.15
0.4118,293.15
0.5011,293.15
0.5454,293.15
0.9868,293.15
0.03226,313.15
0.1139,313.15
0.2308,313.15
0.4118,313.15
0.5454,313.15
0.9868,313.15
0.0322,293.15
0.114,293.15
0.231,293.15
0.25,293.15
0.268,293.15
1.0,293.15
0.0322,303.15
0.114,303.15
0.231,303.15
1.0,303.15
0.0322,313.15
0.114,313.15
0.231,313.15
1.0,313.15
0.0322,323.15
0.114,323.15
0.231,323.15
1.0,323.15
0.0021,293.15
0.0042,293.15
0.0052,293.15
1.0,293.15
0.0021,303.15
0.0042,303.15
0.0052,303.15
1.0,303.15
0.0021,313.15
0.0042,313.15
1.0,313.15
0.0021,323.15
0.0042,323.15
1.0,323.15
0.0036,293.15
0.0073,293.15
1.0,293.15
0.0036,313.15
0.0073,313.15
1.0,313.15
0.0049,293.15
0.01,293.15
0.015,293.15
0.021,293.15
1.0,293.15
