Smiles,T,Property
Brc1ccccc1-c1ccccc1,273,-2.95005
Brc1ccccc1-c1ccccc1,298,-4.52425
Brc1ccccc1-c1ccccc1,323,-5.39273
C=C(C)C(=O)OCCCCCCCC,273,-5.64214
C=C(C)C(=O)OCCCCCCCC,298,-6.17359
C=C(C)C(=O)OCCCCCCCC,323,-6.59575
C[C@H]1CCCC[C@H]1C,273,-6.42625
C[C@H]1CCCC[C@H]1C,298,-6.88305
C[C@H]1CCCC[C@H]1C,323,-7.24982
C[C@H]1CC[C@H](C)CC1,273,-6.95439
C[C@H]1CC[C@H](C)CC1,298,-7.32189
C[C@H]1CC[C@H](C)CC1,323,-7.6222
CCCCCCC(CCCCCC)c1ccccc1,273,-3.77595
CCCCCCC(CCCCCC)c1ccccc1,298,-4.87517
CCCCCCC(CCCCCC)c1ccccc1,323,-5.64049
CCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCC,273,-3.54778
CCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCC,298,-4.40442
CCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCC,323,-5.08208
ClCCCCC(Cl)(Cl)Cl,273,-5.12324
ClCCCCC(Cl)(Cl)Cl,298,-5.55699
ClCCCCC(Cl)(Cl)Cl,323,-5.9394
CCCCCCCCCC1CCCCC1,273,-4.83697
CCCCCCCCCC1CCCCC1,298,-5.56287
CCCCCCCCCC1CCCCC1,323,-6.10702
CC(CC1CCCCC1)CC1CCCCC1,298,-4.6613
CC(CC1CCCCC1)CC1CCCCC1,323,-5.43465
Cc1cccc(C(C)C)c1O,298,-5.30497
Cc1cccc(C(C)C)c1O,323,-5.64707
CCCCCCCCCCCCCCCCCl,298,-5.22008
CCCCCCCCCCCCCCCCCl,323,-5.80513
CCCCCCCCCCOC(=O)CCC,273,-5.45275
CCCCCCCCCCOC(=O)CCC,298,-5.92362
CCCCCCCCCCOC(=O)CCC,323,-6.31294
C1CCC2C(C1)CC1CCCCC12,298,-4.94491
C1CCC2C(C1)CC1CCCCC12,323,-5.50158
CCCCCCC(C)CC,273,-6.69799
CCCCCCC(C)CC,298,-7.11015
CCCCCCC(C)CC,323,-7.43682
CCCCCOC(=O)C(C)O,273,-4.54084
CCCCCOC(=O)C(C)O,298,-5.53565
CCCCCOC(=O)C(C)O,323,-6.2054
CCCCCCCCC(=O)OCCC,273,-5.46636
CCCCCCCCC(=O)OCCC,298,-6.18244
CCCCCCCCC(=O)OCCC,323,-6.6484
