mol1,mol2,y
CC(=O)CC,C(O)(CC)CC,3.3493534862732144
C(CCC)CCC,C(CC)C,6.210356731951794
CCCCCC(CC)CCC,C(CCC)C(CCC)CCCCCCCC,6.868726200139225
C(CC)C(=O)C,CC(CCC)CCCCCC,8.83354316345067
CC(O)CCCCCC,C(CC)C,9.31121147985556
CCCCC(CCC)C,Cc1ccccc1C(CCC)(O)CC,1.8423910611613379
CC=1CCCCC1CCCC(O)CCCC,CCCC,6.79095713785717
C(O)(O)CC,CCCCC(CC)Cc1ccccc1CCCC,5.350816404219049
CCC,Cc1ccccc1CCC=CCCCC=Cc1ccccc1CC,1.2093998698974802
CCCCCCC,CCC(=O)C,9.433835438905557
CC(CC)CCCC(O)=CCC,CCCC,3.1134021055777965
CC(=O)CCCC,C(CCC)=CC(O)c1ccccc1CCc1ccccc1C,4.74369053478296
CCCCCc1ccccc1C,C(CCC)C(CCC)CC(O)CC,9.588967337982927
CCCCCCCC,CCCCCCCCC(CCC)C,7.745654035539367
C(CC)C(=O)C(=O)c1ccccc1C,CC=1CCCCC1C(CCC)CCCC,8.080712867408362
CCC,CCC,8.95464207850329
Cc1ccccc1C=1CCCCC1CCCC,C(CC)C=C,6.75492945150109
C=CCCc1ccccc1CCCCC,CCCC,7.9063190019267235
C(O)(CCC)C,CCCCC,4.775851281266492
CCCCC(CCC)CCCCC,CC(CC)CC,7.186536012584208
CCC(CC)CCCC(=O)CCC,CCC,6.2942362895247275
CCC,CCCCCCCCC(CC)c1ccccc1CCC,5.73608104540762
CC=C,C(=O)CCCCC,9.099270181686423
CCC,C=CCC(O)CC,7.032782390783731
Cc1ccccc1C,CC(CCC)CCC,2.568649331826613
CC=1CCCCC1Cc1ccccc1C,CC(CC)CC=CC(O)C=1CCCCC1C=1CCCCC1C(CCC)C,2.4291399695200986
CC(CC)C,C(CC)=C,6.818038045941038
CCCC,CCC,7.59689205006797
Cc1ccccc1C,CCC,9.525311962294742
CCCC(O)CCC=1CCCCC1CCC(=O)C(CCC)CC,CCC,7.736675019744462
CCCCC=C(O)CCCC,C=C(CC)CCC(O)=CCCC,3.0438554419296033
C(O)c1ccccc1C(CC)(CCC)CCCCC(O)C,C(CC)CCC,2.1281779635059555
Cc1ccccc1CCC,C(O)C=1CCCCC1C,7.014452116530791
CC(CC)CC=C(O)C,CC=1CCCCC1CC,3.6107986047771834
